Sample,X,Y,Z,Protolith,Weathering,SiO2,Al2O3,Fe2O3,MgO,CaO,TiO2,P2O5,BaO,C
MB59 71.40 a 84.40,1450,1900,1038.5,BEB/DC,RA,11.35,1.43,9.41,10.4,26.51,1.76,6.73,0.7,6.63
MB60 51.15 a 71.15,1400,1900,1055,BEB/DC,RA,20.79,2.6,15.77,10.41,21.62,2.01,10.29,0.25,1.92
MB60 71.15 a 86.15,1400,1900,1037.5,BEB/DC,RA,18.78,1.83,30.1,11.65,12.69,2.83,4.97,0.25,2.68
SC34 32.90 a 46.90,1160,1612.3,1013,BEB/DC,RA,13.97,1.4,14.83,8.66,22.94,1.36,14.32,5.89,1.54
SC35 13.80 a 28.80,1173.9,1629.8,1037.5,BEB/DC,RA,15.25,1.15,12.66,8,24.06,0.9,16.75,5.16,0.83
SC39  3.89 a 11.89,1207.43,1656.69,1052,BEB/DC,RA,28.11,2.46,17.17,11.95,14.92,4.08,7.5,1.24,1.13
SR09-020 50 a 55,1269.98,2120.01,1088.1,BEB/DC,RA,29.68,2.42,17.01,11.91,14.61,3.8,9.15,0.24,1.23
SR09-021 71 a 81,1183.04,2159.99,1072.08,BEB/DC,RA,19.1,1.34,12.65,8.33,24.11,1.62,12.94,1.8,2.37
CMA-BAR-DH-0160  11.05 a 20.00,1623.7677,1822.8105,996.85,FCR/DC,MT,18.99,3.96,18.51,10.62,18.02,3.23,12.66,0.26,0.39
CMA-BAR-DH-0160  20 a 29,1623.7677,1822.8105,987.88,FCR/DC,MT,12.26,3.24,18.73,7.35,24.38,3.59,18.2,0.3,0.41
CMA-BAR-DH-0160  29 a 40,1623.7677,1822.8105,977.88,FCR/DC,MT,11.4,3.07,19.93,6.57,24.61,4.13,18.25,0.29,0.42
CMA-BAR-DH-0160  40.00 a 49.55,1623.7677,1822.8105,967.6,FCR/DC,MT,13.91,3.27,20.63,7.27,21.12,5.18,15.4,0.34,0.33
MS21 1.05 a 15.00,475,1564.8,1031.18,FCR/DC,MT,8.31,0.89,32.28,5.73,14.07,3.4,10.86,7.24,0.21
SR09-016 31 a 41,1524.96,1926.08,1015.33,FCR/DC,MT,7.32,2.71,24.62,3.35,27.06,3.82,21.93,0.79,0.41
SC02 4.22 a 13.22,522.45,1458,1022.5,FCR/DC,MB,9.2,0.92,38.43,6.16,16.46,1.83,12.35,4.43,0.19
